token	corpus size	all contexts size	frequency	co-frequency	specificity
健康	48930	20672	120	113	33.25
的	48930	20672	3458	1766	27.31
心理	48930	20672	194	151	23.44
职业	48930	20672	70	65	18.45
心理学	48930	20672	140	109	17.17
是	48930	20672	894	502	16.99
社会	48930	20672	191	134	14.42
模式	48930	20672	72	57	9.86
唯物主义	48930	20672	55	46	9.56
客观	48930	20672	40	36	9.47
治理	48930	20672	25	24	7.82
回	48930	20672	40	34	7.57
之	48930	20672	161	102	7.50
和	48930	20672	489	264	7.41
意识	48930	20672	100	69	7.40
学会	48930	20672	30	27	7.21
它	48930	20672	164	101	6.59
头脑	48930	20672	28	25	6.56
专业	48930	20672	21	20	6.40
主观	48930	20672	27	24	6.23
研究	48930	20672	156	95	5.95
清	48930	20672	19	18	5.70
个人	48930	20672	31	26	5.69
红楼梦	48930	20672	15	15	5.61
心灵	48930	20672	188	110	5.60
思维	48930	20672	35	28	5.32
属于	48930	20672	27	23	5.32
人	48930	20672	168	99	5.31
为	48930	20672	266	147	5.28
体系	48930	20672	116	72	5.12
里	48930	20672	29	24	5.10
曹雪芹	48930	20672	13	13	4.87
四维	48930	20672	12	12	4.49
世界	48930	20672	150	87	4.45
欧洲	48930	20672	18	16	4.28
服务	48930	20672	106	64	4.16
实践	48930	20672	77	49	4.12
意向性	48930	20672	14	13	3.96
组织	48930	20672	59	39	3.92
建设	48930	20672	59	39	3.92
价	48930	20672	50	34	3.85
第一性	48930	20672	10	10	3.74
心智	48930	20672	58	38	3.72
大	48930	20672	60	39	3.70
促进	48930	20672	24	19	3.67
委员会	48930	20672	13	12	3.62
镜	48930	20672	13	12	3.62
人民	48930	20672	26	20	3.55
有	48930	20672	243	127	3.44
心态	48930	20672	9	9	3.37
譬如	48930	20672	9	9	3.37
心	48930	20672	60	38	3.32
指	48930	20672	32	23	3.31
健全	48930	20672	12	11	3.28
可以	48930	20672	90	53	3.26
要	48930	20672	121	68	3.20
人类	48930	20672	59	37	3.14
话	48930	20672	24	18	3.04
需求	48930	20672	8	8	2.99
我国	48930	20672	8	8	2.99
推动	48930	20672	19	15	2.98
罗	48930	20672	26	19	2.96
第三	48930	20672	11	10	2.94
积极	48930	20672	11	10	2.94
包含	48930	20672	11	10	2.94
党	48930	20672	11	10	2.94
物质	48930	20672	45	29	2.86
规律	48930	20672	16	13	2.83
唯心主义	48930	20672	140	75	2.75
个体	48930	20672	25	18	2.72
器官	48930	20672	13	11	2.70
时候	48930	20672	29	20	2.63
第五	48930	20672	7	7	2.62
特点	48930	20672	7	7	2.62
一点	48930	20672	7	7	2.62
组成部分	48930	20672	7	7	2.62
岂	48930	20672	7	7	2.62
包括	48930	20672	20	15	2.62
为何	48930	20672	10	9	2.61
物理	48930	20672	10	9	2.61
总之	48930	20672	10	9	2.61
偏旁	48930	20672	10	9	2.61
场	48930	20672	10	9	2.61
心脏	48930	20672	22	16	2.55
又	48930	20672	63	37	2.49
学者	48930	20672	26	18	2.45
以	48930	20672	137	72	2.45
方法	48930	20672	28	19	2.42
