token	corpus size	all contexts size	frequency	co-frequency	specificity
krizi	19737	16241	221	217	13.49
stock	19737	16241	106	106	9.00
illustrations	19737	16241	104	104	8.83
yetersizliği	19737	16241	74	71	3.46
hastalıkları	19737	16241	50	49	3.21
damar	19737	16241	79	75	3.19
riski	19737	16241	49	48	3.13
ve	19737	16241	594	512	2.80
risk	19737	16241	33	33	2.80
riskini	19737	16241	40	39	2.45
vector	19737	16241	27	27	2.29
sonucu	19737	16241	26	26	2.20
veya	19737	16241	100	91	2.20
neden	19737	16241	51	48	2.00
nakli	19737	16241	22	22	1.86
ile	19737	16241	98	88	1.82
nedir?	19737	16241	21	21	1.78
hastalıklarına	19737	16241	21	21	1.78
olabilir.	19737	16241	62	57	1.78
Bu	19737	16241	127	112	1.69
çarpıntısı	19737	16241	29	28	1.66
diğer	19737	16241	37	35	1.64
krizine	19737	16241	18	18	1.52
geçirme	19737	16241	18	18	1.52
stok	19737	16241	18	18	1.52
emojisi	19737	16241	18	18	1.52
yetmezliği	19737	16241	35	33	1.52
hastalıklarının	19737	16241	17	17	1.44
hearts	19737	16241	17	17	1.44
ifade	19737	16241	33	31	1.41
söz	19737	16241	16	16	1.36
fotoğraflar	19737	16241	16	16	1.36
resimler	19737	16241	16	16	1.36
için	19737	16241	125	108	1.32
olarak	19737	16241	113	98	1.32
karşı	19737	16241	15	15	1.27
kası	19737	16241	15	15	1.27
belirtisi	19737	16241	15	15	1.27
pili	19737	16241	15	15	1.27
çarpıntısına	19737	16241	15	15	1.27
hastalığı	19737	16241	44	40	1.26
yer	19737	16241	23	22	1.25
nedeniyle	19737	16241	22	21	1.19
belirtileri	19737	16241	22	21	1.19
nefes	19737	16241	22	21	1.19
ilaç	19737	16241	14	14	1.19
illustration	19737	16241	14	14	1.19
neyi	19737	16241	14	14	1.19
kasının	19737	16241	13	13	1.10
gelen	19737	16241	13	13	1.10
kronik	19737	16241	13	13	1.10
çeşitli	19737	16241	13	13	1.10
gerekli	19737	16241	13	13	1.10
ediyor	19737	16241	13	13	1.10
ortaya	19737	16241	45	40	1.06
da	19737	16241	108	91	1.04
durum	19737	16241	26	24	1.02
Kronik	19737	16241	12	12	1.02
ileri	19737	16241	12	12	1.02
faktörleri	19737	16241	12	12	1.02
hastası	19737	16241	12	12	1.02
tür	19737	16241	12	12	1.02
zarar	19737	16241	12	12	1.02
hastalığı,	19737	16241	12	12	1.02
destek	19737	16241	12	12	1.02
romantik	19737	16241	12	12	1.02
bu	19737	16241	81	69	1.01
göre	19737	16241	19	18	1.00
sağlığı	19737	16241	19	18	1.00
çok	19737	16241	43	38	0.99
ciddi	19737	16241	25	23	0.97
kan	19737	16241	72	61	0.95
en	19737	16241	52	45	0.95
birlikte	19737	16241	18	17	0.94
ne	19737	16241	30	27	0.93
nedeni	19737	16241	11	11	0.93
açısından	19737	16241	11	11	0.93
oldukça	19737	16241	11	11	0.93
hastaların	19737	16241	11	11	0.93
line	19737	16241	11	11	0.93
icon	19737	16241	11	11	0.93
çarpıntısını	19737	16241	11	11	0.93
gibi	19737	16241	70	59	0.93
ani	19737	16241	24	22	0.93
yüksek	19737	16241	45	39	0.90
Ancak	19737	16241	29	26	0.89
sonra	19737	16241	17	16	0.88
yardımcı	19737	16241	17	16	0.88
olan	19737	16241	60	50	0.87
sendromu	19737	16241	10	10	0.85
riskinin	19737	16241	10	10	0.85
nedenle,	19737	16241	10	10	0.85
tedavisi	19737	16241	10	10	0.85
hastalıkları,	19737	16241	10	10	0.85
of	19737	16241	10	10	0.85
izole	19737	16241	10	10	0.85
durumlar	19737	16241	10	10	0.85
tıbbi	19737	16241	10	10	0.85
arasında	19737	16241	42	36	0.84
kontrol	19737	16241	27	24	0.82
Sağlık	19737	16241	16	15	0.82
olmak	19737	16241	16	15	0.82
Bazı	19737	16241	16	15	0.82
genellikle	19737	16241	42	35	0.79
koroner	19737	16241	42	35	0.79
çıkan	19737	16241	21	19	0.79
önemli	19737	16241	35	30	0.79
yol	19737	16241	34	29	0.77
